d_model,num_layers,num_heads,batch_size,learning_rate,train_flops,loss
1024,24,16,128,0.001,10000000000000,10.544081814956664
1024,24,16,256,0.001,10000000000000,10.544343032836911
64,2,2,128,0.0001,10000000000000,10.541156144275838
64,2,2,128,0.0005,10000000000000,10.534810342267413
64,2,2,128,0.001,10000000000000,10.52639950505081
64,2,2,256,0.0001,10000000000000,10.542967445179809
64,2,2,256,0.0005,10000000000000,10.540436874012206
64,2,2,256,0.001,10000000000000,10.53775898018614
64,2,4,128,0.0001,10000000000000,10.53766063430297
64,2,4,128,0.0005,10000000000000,10.545627322271196
64,2,4,128,0.001,10000000000000,10.527675799746616
64,2,4,256,0.0001,10000000000000,10.550551771786964
64,2,4,256,0.0005,10000000000000,10.53997442021265
64,2,4,256,0.001,10000000000000,10.535511814784746
64,2,8,128,0.0001,10000000000000,10.540205937839966
64,2,8,128,0.0005,10000000000000,10.524861381439532
64,2,8,128,0.001,10000000000000,10.53407819337574
64,2,8,256,0.0001,10000000000000,10.532972267591711
64,2,8,256,0.0005,10000000000000,10.540606147785615
64,2,8,256,0.001,10000000000000,10.53664761802328
64,2,16,128,0.0001,10000000000000,10.534087764506143
64,2,16,128,0.0005,10000000000000,10.52965047487351
64,2,16,128,0.001,10000000000000,10.52967160528724
64,2,16,256,0.0001,10000000000000,10.5372370449933
64,2,16,256,0.0005,10000000000000,10.538625188323422
64,2,16,256,0.001,10000000000000,10.53158253359023
64,4,2,128,0.0001,10000000000000,10.53293447398014
64,4,2,128,0.0005,10000000000000,10.51637231966823
64,4,2,128,0.001,10000000000000,10.52193475235448
64,4,2,256,0.0001,10000000000000,10.543803334601469
64,4,2,256,0.0005,10000000000000,10.53941414011715
64,4,2,256,0.001,10000000000000,10.534325441181688
64,4,4,128,0.0001,10000000000000,10.52786334539051
64,4,4,128,0.0005,10000000000000,10.526806887866496
64,4,4,128,0.001,10000000000000,10.525068851354163
64,4,4,256,0.0001,10000000000000,10.548572795733508
64,4,4,256,0.0005,10000000000000,10.52591837061655
64,4,4,256,0.001,10000000000000,10.535580703740404
64,4,8,128,0.0001,10000000000000,10.545411884125976
64,4,8,128,0.0005,10000000000000,10.511749298543949
64,4,8,128,0.001,10000000000000,10.528031231858748
64,4,8,256,0.0001,10000000000000,10.53314375203986
64,4,8,256,0.0005,10000000000000,10.543938851615676
64,4,8,256,0.001,10000000000000,10.52586238058668
64,4,16,128,0.0001,10000000000000,10.523899797822128
64,4,16,128,0.0005,10000000000000,10.530299733529436
64,4,16,128,0.001,10000000000000,10.49411470715038
64,4,16,256,0.0001,10000000000000,10.53633712351264
64,4,16,256,0.0005,10000000000000,10.534990261382635
64,4,16,256,0.001,10000000000000,10.53602115481969
64,8,2,128,0.0001,10000000000000,10.531829566354698
64,8,2,128,0.0005,10000000000000,10.533966028775538
64,8,2,128,0.001,10000000000000,10.49149612125257
64,8,2,256,0.0001,10000000000000,10.546166143764028
64,8,2,256,0.0005,10000000000000,10.537802803971928
64,8,2,256,0.001,10000000000000,10.545296820240258
64,8,4,128,0.0001,10000000000000,10.541327084519295
64,8,4,128,0.0005,10000000000000,10.521411813180466
64,8,4,128,0.001,10000000000000,10.523191071021795
64,8,4,256,0.0001,10000000000000,10.522840568419904
64,8,4,256,0.0005,10000000000000,10.537376912057448
64,8,4,256,0.001,10000000000000,10.537117120842678
64,8,8,128,0.0001,10000000000000,10.548957360858386
64,8,8,128,0.0005,10000000000000,10.525291786289747
64,8,8,128,0.001,10000000000000,10.521985087662165
64,8,8,256,0.0001,10000000000000,10.542648547639024
64,8,8,256,0.0005,10000000000000,10.54564814800375
64,8,8,256,0.001,10000000000000,10.541691906253384
64,8,16,128,0.0001,10000000000000,10.539236024934544
64,8,16,128,0.0005,10000000000000,10.527995515037295
64,8,16,128,0.001,10000000000000,10.5001981171683
64,8,16,256,0.0001,10000000000000,10.546167555387058
64,8,16,256,0.0005,10000000000000,10.53771638914589
64,8,16,256,0.001,10000000000000,10.514984949762754
64,16,2,128,0.0001,10000000000000,10.540314171536476
64,16,2,128,0.0005,10000000000000,10.51804365407395
64,16,2,128,0.001,10000000000000,10.508820737499429
64,16,2,256,0.0001,10000000000000,10.543236111795435
64,16,2,256,0.0005,10000000000000,10.539221756082863
64,16,2,256,0.001,10000000000000,10.536136193586138
64,16,4,128,0.0001,10000000000000,10.543278007657356
64,16,4,128,0.0005,10000000000000,10.525378881108582
64,16,4,128,0.001,10000000000000,10.515137405466692
64,16,4,256,0.0001,10000000000000,10.539470632223816
64,16,4,256,0.0005,10000000000000,10.544196686245392
64,16,4,256,0.001,10000000000000,10.534069129940445
64,16,8,128,0.0001,10000000000000,10.528596561333048
64,16,8,128,0.0005,10000000000000,10.51691043591829
64,16,8,128,0.001,10000000000000,10.51307917725164
64,16,8,256,0.0001,10000000000000,10.535115146041017
64,16,8,256,0.0005,10000000000000,10.54170999342125
64,16,8,256,0.001,10000000000000,10.53447542759836
